"product_id","product_name","created_at","cat_id","category","product_description","product_url","retailer_name"
"524e0349-8a72-4bec-8eb9-f8e204d79fe4","Atom LT Hoody Men's","2021-09-02 20:45:23.309606","14912","Protective Gear","Light, versatile synthetically insulated hoody works as a midlayer and standalone. Atom Series: Synthetic insulated midlayers. | LT: Lightweight.","https://arcteryx.com/us/en/shop/mens/atom-lt-hoody","arcteryx.com"
"58ae832c-a995-4c2f-be69-4c366f741698","Survival, Historical, Family, Animals & Nature, Action-Adventure","2023-01-17 20:26:42.856933","9463","Biology","“Togo” is the untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo. When a deadly epidemic strikes the town of Nome, Alaska and the only cure is more than 600 miles away, the town looks to champion dogsled trainer Leonhard Seppala (Willem Dafoe) to help transport an antitoxin serum. Seppala turns to Togo, an unassuming, undersized and aging Siberian husky, to be his lead. His wife (Julianne Nicholson) has championed Togo since his days as a mischievous puppy who could dig himself out of any situation, literally and physically, and Seppala, having observed Togo’s loyalty and tenacious spirit, knows Togo offers his only chance of surviving this mission. Undaunted by the massive storm heading their way or pressure from his wife not to go, Seppala and Togo set out on the deadliest leg of what becomes a larger relay involving multiple mushers, facing gale force winds, 50 below zero temperatures and little to no visibility. It is an intense journey that causes the veteran musher to grasp the depth of his feelings for his lead dog and the unbreakable bond they share. Some flashing lights sequences or patterns may affect photosensitive viewers.","https://www.disneyplus.com/movies/togo/7jEeXqS5aEVr","disneyplus.com"
"cf948b05-7ae7-4e16-b049-3e635d7a4382","Head Extreme Elite Composite 2 Paddle Bundle with Tour Team Drawstring Bag, 3-Pack Penn Outdoor Pickleballs","2023-04-06 18:58:41.09336","5019","Rackets","<p>He's taken up a new hobby, so he might as well have the best equipment out there. After all, can't have him embarrassing you on the court. </p>","https://www.amazon.com/dp/B0BBL4VLGL","amazon.com"
"8be74eb2-42a4-4d06-b958-b7db1980b16d","Boss Lars Tropical Print Shirt",2023-04-06 19:00:49.428133,"25094",Shirts,"Boss Lars Tropical Print Shirt-Men","https://www.bloomingdales.com/shop/product/boss-lars-tropical-print-shirt?ID=4679667","bloomingdales.com"
"3fbdf5ae-c000-4e3b-be77-d18e137b1525","Faucet Shower Rod Assembled Kitchen Washing Sponge Holder Faucet Caddy Shower Soap Basket,Bright Silver Color","2022-01-27 21:12:44.058062","5369","Scales","<p>Need something to hold your soap, body scrubbers, and razors? This <a href=""https://www.amazon.com/Faucet-Assembled-Kitchen-Washing-Storage/dp/B0879JKZCS?th=1"" target=""_blank"" rel=""nofollow"">aluminum basket</a> works with most shower rails or poles. You could even use it on a sink faucet rod. It's easy to attach without the need for any special tools.</p>","https://www.amazon.com/dp/B0879JKZCS","amazon.com"
"789ffedc-0079-46d2-bfde-831ee6397606","Mr. Pen- Egg and Spoon Race Game Set, 6 Eggs and 6 Spoons, Easter Party Games for Kids, Easter Egg Hunt Games, Halloween Egg and Spoon Race Game Set, Egg and Spoon Relay Race Games for Kids","2023-02-09 17:07:16.655758","9779","Party Games & Crafts","<p>Play that classic <a href=""https://www.goodhousekeeping.com/holidays/easter-ideas/g4154/easter-games/"" target=""_blank"">family Easter game</a> without sacrificing your regular utensils and groceries. The trick is to run a race while balancing an egg on the wooden spoon. The <strong>fun, Easter-themed designs</strong> are an added bonus. <em>Ages 12+</em></p>","https://www.amazon.com/dp/B09DTJMBJ9","amazon.com"
"9c3e3fec-c3b4-47f2-bdba-b3711a94a6dd","Yamazaki Standing Bath Towel Hanger",2022-01-15 16:44:41.761632,"9230","Towel Holders","32""w x 6.3""d x 28""h. Powder coated steel frame. Solid ash bars. Imported. ","https://www.westelm.com/products/standing-bath-towel-hanger-d6524","westelm.com"
"cc569bcb-17bd-49a3-9850-99d0d0639bb7",Cottonwoods GORE-TEX Jacket - Men's,"2022-09-06 18:22:06.246936","25374","Active & Performance","We don't mind when the snow gods are dumping in full forcein fact, we welcome it. We created the Cottonwoods Jacket so that we could continue to play in such weather, snug as a bug. Even though the Cottonwoods Jacket is not as lightweight or stretchy as our more versatile Rustler Jacket, if we're plowing through mountains in the Pacific North West it's the piece we want. Articulated sleeve patterning still allows us the freedom we need for pole-planting and binding adjustments, while a plethora of features keeps us comfortable and dry in even the deepest of snow.","https://www.backcountry.com/backcountry-cottonwoods-gore-tex-jacket-mens","backcountry.com"
"e70bdab4-73ba-4607-b114-f53ac4ed7da2","ViewSonic VA1655 15.6 Inch 1080p Portable IPS Monitor with Mobile Ergonomics, USB-C , Mini HDMI for Home and Office","2022-03-15 17:15:05.538351","12460","Monitors",,"https://www.amazon.com/dp/B09237LL5Q","amazon.com"
"d90b8de8-c597-446f-903b-55fb139a5b07",Genius Movies: Genius Playing Cards (Other),"2022-12-07 04:22:41.19001","18913","Crosswords","Bring some stardust to your card table with 54 of the most influential movie directors and stars, arranged into four suits. Hearts = Romance, Clubs = Drama, Diamonds = Crime, Spades = Sci-fi Includes illustrations of all the big names, from Alfred Hitchcock and Orson Welles to Sofia Coppola and Samuel L. Jackson - plus two jokers: Wes Anderson and Charlie Chaplin. ","https://www.walmart.com/ip/674327772?selected=true","walmart.com"
"09afc618-f969-423c-a5d7-edc61b23839e","Liza Microfiber Percale Sheet Set","2023-04-10 23:42:21.48131","15144","Snore Relief Pillows","This sheet set brings comfort to your main or guest bedroom. It's made of microfiber polyester in a percale weave. This sheet set includes a flat sheet, pillowcases, and a fitted sheet that fits up to 16''-deep mattresses. It features a light, breathable weave that keeps you cool. We love that these sheets come in a variety of colors that evoke coastal comfort. Plus, these sheets are machine-washable for quick and easy cleaning. Size: Twin, Color: Navy","https://www.wayfair.com/--/pdp/sand-and-stable%e2%84%a2--liza-microfiber-percale-sheet-set-x111779080-l1224-w000668979.html","wayfair.com"
"82683df4-279d-42b0-94fc-52dd985829b0","about-face Matte Fluid Eye Paint","2022-07-21 18:11:40.88735","9524","Eye Shadow","","https://www.ulta.com/p/matte-fluid-eye-paint-pimprod2033361","ulta.com"
"55c39bae-7d46-4391-9406-0cb90c23dd5f","Balm Dotcom Trio","2019-04-30 21:53:09.621357","14227","Sex Toys","A customizable three-pack of our cult favorite universal skin salve—for your bag, glove compartment, desk drawer, and anywhere else you might stash your favorite lip balm. The power is in your hands: choose between __Birthday__ (inspired by Milk Bar’s famous cake, with subtle shimmer), __Rose__ (with a barely-there pink tint), __Cherry__ (with a sheer, juicy red tint), __Mint__, __Coconut__, and __Original__. Build a collection, share with friends, stock up on your favorites—or all of the above.","https://www.glossier.com/products/balm-dotcom-trio","glossier.com"
"e62a6f44-487f-45ef-a850-af606b182186","Clothes, Clothes, Clothes. Music, Music, Music. Boys, Boys, Boys.: A Memoir","2023-03-28 20:31:51.429659","12842","Instruments & Performers","<p>Viv Albertine recounts her life in 1975 in the memoir <em>Clothes Clothes Clothes Music Music Music Boys. </em>At the time, Albertine had never played an instrument, but she was determined to master the electric guitar. A year later, she landed a gig playing with a girl band called The Slits, and thus, her career began. Throughout the memoir, Albertine recounts her heyday, a career pivot to film, a painful IVF journey, her divorce, and her choice to eventually step back into the music scene.</p>","https://www.amazon.com/dp/1250065992","amazon.com"
"ae70e77e-756d-475b-addc-fea424877074","LUMIFY Redness Reliever Eye Drops 0.25 Ounce (7.5mL)","2018-10-23 18:10:29.192771","24758","Eye Drops, Lubricants & Washes",,"https://www.amazon.com/dp/B07BVYZL88","amazon.com"
